"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
2,5.72119,0.330002,-0.425782,-3.66587,0.228222,56.8677,8.64908e-05,101331,-0.0381735,-0.0189503,-0.06
2,5.39229,0.50655,-0.334114,-4.94072,0.0919661,20.1469,3.78063e-05,101330,-0.0285118,-0.0157926,-0.06
2,5.95589,-0.0155823,0.283587,-3.47553,0.207014,51.9784,7.53987e-05,101331,-0.0390882,-0.0154514,-0.06
2,-8.20745,-0.355733,-1.40872,-7.16054,0.0717241,18.906,2.81284e-05,101317,-0.012314,-0.0323819,-0.06
2,-3.98491,0.033698,-0.777045,-6.95907,0.0531327,8.28131,2.71321e-05,101321,-0.0140756,-0.0241311,-0.06
2,-20.0135,-0.399942,-2.00411,-7.94556,0.553792,246.158,0.000131482,101305,-0.027816,-0.0386205,-0.06
2,-11.0126,0.0105425,-1.83658,-7.23672,0.244928,102.052,7.37401e-05,101314,-0.0215456,-0.0346854,-0.06
2,-6.55169,0.924161,-1.82984,-5.05943,0.370616,114.35,9.55796e-05,101318,-0.0398669,-0.0292215,-0.06
2,-5.38489,0.953464,-1.64405,-4.58535,0.366841,113.026,9.40037e-05,101320,-0.0411082,-0.0288697,-0.06
1.57245,-5.81562,-0.307888,0.889435,-7.26838,0.0656021,8.65781,4.90348e-05,101319,-0.000557633,0.0279718,-0.06
2,-29.0857,-2.39523,0.746998,-8.13265,0.282027,167.546,6.9884e-05,101296,-0.0266975,0.04333,-0.06
2,-36.3021,-2.28067,0.808247,-8.23937,0.31847,232.645,6.31986e-05,101289,-0.030695,0.0464646,-0.06
2,-29.8209,-2.30726,0.886434,-8.2982,0.285705,189.883,6.46117e-05,101295,-0.0290435,0.041086,-0.06
2,-5.35966,-0.847215,1.99075,-5.19826,0.211802,115.718,5.27084e-05,101320,-0.0407955,-0.000411264,-0.06
2,-9.50985,-0.92799,2.04587,-5.8066,0.252774,150.864,5.92631e-05,101315,-0.0413329,0.000393717,-0.06
2,-6.31566,-0.849257,2.0544,-4.97069,0.209714,117.21,5.01919e-05,101319,-0.0417609,-0.00144729,-0.06
2,-39.9908,-0.098211,2.25241,-7.40293,1.97651,1961.1,0.000306735,101285,-0.0472399,0.0313739,-0.06
2,-31.5482,-1.25721,2.16394,-8.58351,1.44699,1349.71,0.000244356,101293,-0.0417547,0.0277112,-0.06
2,-31.6193,-1.34822,2.10658,-8.60867,1.39456,1305.93,0.000232693,101293,-0.0405046,0.0287041,-0.06
1,-32.2349,0.719939,2.64697,-8.17653,1.35907,812.291,0.000235944,101293,0.0389252,0.0420605,-0.06
1,-33.2093,0.732367,2.78052,-8.24603,1.31265,791.432,0.00022814,101292,0.0394351,0.0415396,-0.06
1,-33.9845,0.771518,2.68179,-8.28362,1.35261,837.838,0.000230749,101291,0.0396599,0.0418845,-0.06
1,-21.0908,0.402592,3.34439,-6.67282,0.414585,191.811,9.28039e-05,101304,0.0428151,0.0331937,-0.06
1,-17.5944,0.500014,2.88271,-7.57224,0.338652,134.795,8.97215e-05,101307,0.0367489,0.032449,-0.06
2,5.51257,-0.322363,1.1373,-3.30714,0.162659,45.1746,5.33147e-05,101331,-0.040266,-0.00988078,-0.06
2,6.764,-0.24638,1.1077,-3.69448,0.133374,33.5655,4.60036e-05,101332,-0.0376821,-0.00976146,-0.06
2,-0.862564,-0.69422,1.61459,-4.52205,0.198722,91.0676,5.43957e-05,101324,-0.0403642,-0.00390897,-0.06
1,-4.5329,-0.738975,-0.45831,-6.67071,0.109663,29.1274,4.82713e-05,101320,0.01615,-0.0266019,-0.06
1,-6.06517,-0.639749,-0.705235,-6.44843,0.433195,201.859,0.000133769,101319,0.0145786,-0.0313785,-0.06
1.17981,0.530295,-0.882317,1.00139,-6.69359,0.138621,6.72632,0.000290337,101326,0.00905502,0.00809265,-0.06
