"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1,1.14109,0.146306,0.056633,-7.48649,0.242438,97.437,6.77784e-05,101326,-0.0443973,-0.044769,-0.06
1,1.13233,0.188647,0.0989021,-7.95285,0.235899,60.6067,0.000109413,101326,-0.0405688,-0.0401404,-0.06
1,1.76506,-0.160404,-0.23272,-6.69839,0.237956,141.012,3.63864e-05,101327,-0.05,-0.05,-0.06
1,1.62365,0.10751,0.0307592,-7.2375,0.284534,81.8259,9.79679e-05,101327,-0.0191954,-0.0393816,-0.06
1,1.53681,0.128913,0.0316867,-7.29697,0.279012,80.299,0.000100498,101327,-0.0199336,-0.0412027,-0.06
1.8656,1.87203,-0.0113863,0.122663,-7.03499,0.215283,72.3284,7.1873e-05,101327,-0.00388452,-0.0459788,-0.06
1.87335,1.98811,-0.0695361,0.128411,-7.04222,0.203008,68.692,6.87738e-05,101327,0.000113895,-0.05,-0.06
2,1.59088,-0.0789862,0.138268,-6.94325,0.191557,58.3317,6.745e-05,101327,0.00381236,-0.0424531,-0.06
2,1.55055,-0.0624487,0.13679,-6.93944,0.194882,59.1943,6.8317e-05,101327,0.00272877,-0.0411655,-0.06
1,1.64039,0.11966,0.0526826,-7.6786,0.227211,51.7482,0.000113524,101327,-0.0427548,-0.0288655,-0.06
1,1.63505,0.125027,0.0595273,-7.68032,0.215803,48.7705,0.000108376,101327,-0.0423058,-0.0284779,-0.06
1,1.99571,0.0950232,0.0557248,-7.45093,0.270756,72.2855,0.000113676,101327,-0.046058,-0.0254161,-0.06
2,1.57554,-0.126189,0.0715716,-7.13347,0.247854,74.2684,8.36316e-05,101327,0.0413359,-0.0166561,-0.06
2,1.55775,-0.119656,0.014567,-6.88529,0.205107,68.9927,6.10646e-05,101327,0.0442196,-0.0139061,-0.06
2,1.26312,-0.110149,0.052101,-7.14398,0.229342,71.1249,7.2269e-05,101326,0.0413492,-0.01479,-0.06
2,1.97312,-0.128354,0.023692,-6.95626,0.249968,71.8349,8.21112e-05,101327,0.0397689,-0.0097134,-0.06
3,2.02298,0.0455257,-0.14075,-7.30782,0.213754,54.3368,9.55111e-05,101327,-0.0385115,0.0222134,-0.06
3,2.06561,0.0509611,-0.165486,-7.55709,0.225099,51.347,0.000116549,101327,-0.0392993,0.0257902,-0.06
2.46809,0.683302,-0.259933,0.0828789,-5.92072,0.417725,19.8594,0.00230716,101326,-0.0222206,0.00734222,-0.06
2.22163,0.687644,-0.279172,0.0495879,-5.89316,0.431818,16.2735,0.00251451,101326,-0.0219632,0.00418674,-0.06
2.46809,0.44186,-0.27545,0.0700947,-6.0519,0.481861,14.0528,0.00336719,101325,-0.0196038,0.00575182,-0.06
1,1.33813,0.109141,0.0551346,-7.73858,0.21222,45.1848,0.000110331,101326,-0.0287481,-0.0398605,-0.06
1,1.30748,0.110546,0.0543542,-7.73845,0.21416,46.2138,0.000110146,101326,-0.0290558,-0.0400489,-0.06
1,1.35286,0.111437,0.0550939,-7.7212,0.213538,46.0365,0.000110117,101326,-0.0284975,-0.0400348,-0.06
1,2.50572,0.170251,-0.0178509,-6.81374,0.251103,85.7356,8.06568e-05,101328,-0.0146905,-0.0485239,-0.06
1.08534,2.37948,0.146078,0.00108776,-6.85759,0.242959,82.212,7.78105e-05,101327,-0.0132305,-0.0473789,-0.06
1,1.46396,0.115925,0.028539,-7.35258,0.279666,79.5448,0.000100539,101326,-0.0203773,-0.0401937,-0.06
3,-0.178591,-0.133055,0.059614,-6.58544,0.644517,4.33712,0.0151402,101325,-0.00931398,0.00651969,-0.06
2.95968,-0.184384,-0.133485,0.0385326,-6.59096,0.643832,4.11136,0.016068,101325,-0.00959824,0.0053155,-0.06
2.98939,-0.245497,-0.12564,0.0381972,-6.63161,0.658303,3.474,0.0168675,101325,-0.00897813,0.00533801,-0.06
1,1.42037,-0.0107755,-0.0980891,-6.10047,0.623838,186.458,0.000183483,101326,-0.0219557,-0.0274886,-0.06
1,1.31208,-0.0833821,-0.0998615,-5.99583,0.502423,123.482,0.000455044,101326,-0.0219079,-0.0238537,-0.06
1,1.45292,0.0127485,-0.0525036,-6.11989,0.611477,184.386,0.000175678,101326,-0.0229464,-0.0271018,-0.06
2,1.24427,0.140458,-0.360356,-5.43305,0.257544,33.9524,0.000439302,101326,0.0140247,-0.0240477,-0.06
2,1.21301,0.158356,-0.370316,-5.39915,0.271492,31.3056,0.000540034,101326,0.0136814,-0.0233647,-0.06
2,1.22713,0.156902,-0.375784,-5.38254,0.263965,31.0511,0.000480781,101326,0.0131373,-0.0239154,-0.06
3,2.58849,0.0797581,-0.190661,-6.55684,0.155488,59.8693,4.87372e-05,101328,-0.0136704,0.0478556,-0.06
3,2.06957,0.0946147,-0.0433857,-7.16781,0.144383,38.8271,6.49328e-05,101327,-0.0202811,0.0404151,-0.06
3,1.99109,0.105037,-0.123441,-7.01848,0.126592,50.0539,3.46913e-05,101327,-0.00879008,0.0466352,-0.06
3,2.71279,0.0825011,-0.206866,-6.51146,0.171928,67.0359,5.38916e-05,101328,-0.0135643,0.05,-0.06
4,1.60392,-0.122163,-0.128584,-7.87661,0.410044,87.9512,0.000207084,101327,0.0391393,0.0411689,-0.06
3,0.071528,-0.178254,0.178424,-6.35831,0.582448,9.12383,0.00580512,101325,-0.0104901,0.0130775,-0.06
3,0.167391,-0.191148,0.186222,-6.29372,0.564557,9.97496,0.00498728,101325,-0.0117736,0.0138226,-0.06
3,0.106465,-0.18898,0.177673,-6.33743,0.581683,9.52959,0.00531762,101325,-0.0119889,0.0127043,-0.06
3.26672,0.864459,0.278575,-0.0353941,-5.81618,0.377003,18.4443,0.00176229,101326,0.0222988,-0.00112362,-0.06
3,2.05892,0.0512353,-0.150208,-7.35026,0.227858,56.6344,0.000105817,101327,-0.0394497,0.0224824,-0.06
3.35633,2.10942,0.0269107,-0.0881172,-7.04837,0.163425,56.7632,4.40285e-05,101327,0.0104425,0.042842,-0.06
2,1.74263,-0.101958,0.0828466,-6.68047,0.276839,90.935,8.33683e-05,101327,0.0326306,-0.0217453,-0.06
2,1.71329,-0.0839318,0.0646604,-6.50679,0.379795,130.328,0.000105112,101327,0.0320252,-0.0204829,-0.06
2,1.65142,-0.0899443,0.156189,-7.40123,0.227699,55.3311,0.000109316,101327,0.0416703,-0.0251936,-0.06
2,1.62722,-0.0831481,0.170854,-7.43831,0.219112,51.7066,0.000110803,101327,0.0416771,-0.0266539,-0.06
2,1.77937,-0.116674,0.0664252,-6.81204,0.28445,89.3415,8.76893e-05,101327,0.0355353,-0.0188635,-0.06
2,1.72815,-0.135854,0.0765833,-7.12593,0.251826,72.5553,8.57646e-05,101327,0.0400043,-0.0167147,-0.06
1,2.01952,0.00418142,0.0769243,-6.5578,0.397257,200.773,9.00053e-05,101327,-0.0383296,-0.0044556,-0.06
1.69035,1.61538,-0.115763,-0.0364959,-5.57234,0.258965,94.4132,0.000101524,101327,-0.0325994,0.00255731,-0.06
1.1974,2.04504,0.0417211,0.0757393,-6.65704,0.386322,197.792,8.31733e-05,101327,-0.039117,-0.00221861,-0.06
1,1.88847,0.0454713,0.10368,-6.80133,0.394667,200.431,8.64429e-05,101327,-0.0404957,-0.00402574,-0.06
1,1.84378,0.0395258,-0.00255198,-7.04109,0.159285,51.8965,5.53853e-05,101327,-0.0365341,-0.0203961,-0.06
1,1.57746,-0.0856947,-0.0644231,-6.03054,0.27703,98.0261,7.45851e-05,101327,-0.0287059,-0.0208788,-0.06
1,1.73589,-0.26057,-0.0567648,-5.66959,0.282505,106.849,8.71086e-05,101327,-0.0309213,-0.0129677,-0.06
2.07645,1.43842,-0.0884146,-0.0328388,-6.67748,0.131024,61.3116,2.80236e-05,101326,0.05,-0.011311,-0.06
2.45577,2.24379,-0.120629,-0.082656,-6.46347,0.106372,54.6061,1.98149e-05,101327,0.05,-0.003702,-0.06
2,1.51561,-0.0897046,-0.0407266,-6.70904,0.140005,57.8159,3.40288e-05,101327,0.0479145,-0.0104521,-0.06
2,1.23989,-0.0467777,0.128271,-7.7332,0.211475,42.2571,0.000117066,101326,0.0310872,-0.0382186,-0.06
4,1.91499,-0.127541,-0.132289,-7.70122,0.298777,56.4,0.000177049,101327,0.040934,0.0311793,-0.06
4,1.90074,-0.126232,-0.125393,-7.66309,0.28653,54.1351,0.000170378,101327,0.0410708,0.0300821,-0.06
4,2.21962,-0.0897923,-0.14356,-7.4072,0.322731,69.2965,0.000171428,101327,0.0450275,0.0285776,-0.06
2.51417,2.32273,-0.111387,-0.0928872,-6.46889,0.0996337,52.4358,1.78595e-05,101327,0.0495529,-0.00196918,-0.06
2.35685,2.34074,-0.125566,-0.0561545,-6.59702,0.154353,59.4107,4.12243e-05,101327,0.0461112,-0.0034351,-0.06
3,2.04631,0.11136,-0.0154919,-7.30925,0.175959,47.5455,8.20703e-05,101327,-0.0236284,0.0408182,-0.06
3,2.07781,0.106708,-0.0144995,-7.31766,0.170589,43.2773,8.18123e-05,101327,-0.0233176,0.0412211,-0.06
3,2.07684,0.108369,-0.0136657,-7.33731,0.173491,43.3712,8.39508e-05,101327,-0.0238229,0.0412482,-0.06
4,2.12334,-0.113661,-0.106334,-7.48069,0.285579,56.5609,0.000147154,101327,0.0402739,0.0270411,-0.06
2,1.76177,-0.045289,0.121108,-6.79492,0.268678,83.9874,0.000106965,101327,0.0497545,-0.0211052,-0.06
2,1.74686,-0.0482122,0.104104,-6.75207,0.256845,82.1248,0.000100024,101327,0.05,-0.020169,-0.06
1.99071,1.52166,0.00509778,-0.148241,-5.53776,0.252315,61.0828,0.00012153,101327,-0.00252233,-0.0308646,-0.06
2,1.76397,-0.00153376,0.14363,-6.98676,0.214374,68.3439,7.22627e-05,101327,-0.003565,-0.0406038,-0.06
2,1.49966,0.00444307,-0.146671,-5.55879,0.250475,60.7707,0.000120796,101326,-0.00230692,-0.0311153,-0.06
2.80898,0.762618,0.267846,-0.0758504,-5.86195,0.399782,15.3849,0.00221129,101326,0.0217498,-0.00460896,-0.06
2.79793,0.689382,0.258357,-0.0793604,-5.92116,0.420469,14.2935,0.00323874,101326,0.0208286,-0.00461786,-0.06
2.73946,0.796118,0.260491,-0.0847937,-5.83289,0.393991,17.0773,0.0020893,101326,0.0216512,-0.00551796,-0.06
2,1.52466,0.00727355,-0.152681,-5.51661,0.250189,60.3858,0.000121179,101327,-0.00209166,-0.0307816,-0.06
2,0.82512,0.206787,-0.170777,-5.76171,0.395535,26.2531,0.00224423,101326,0.0192872,-0.0126951,-0.06
2,0.961532,0.205443,-0.161016,-5.66285,0.366165,29.3488,0.00128929,101326,0.0208684,-0.0129832,-0.06
3,2.73829,0.0404933,-0.221437,-7.26092,0.372941,89.4977,0.000186791,101328,-0.05,0.0316456,-0.06
3,2.81198,0.00756923,-0.191642,-7.06675,0.356097,88.5971,0.000172053,101328,-0.05,0.0292451,-0.06
2,1.74443,-0.128561,0.165828,-8.03802,0.274757,64.7419,0.000127143,101327,0.0407129,-0.037999,-0.06
1,1.53976,0.160135,-0.00910987,-7.19096,0.313588,85.1859,0.00013042,101327,-0.0293492,-0.05,-0.06
1,1.39334,0.117136,0.0492822,-7.65804,0.222136,48.9845,0.000112878,101326,-0.028379,-0.0406926,-0.06
1.49355,2.56005,-0.00495061,0.00924941,-6.83532,0.198155,68.3069,6.2355e-05,101328,-0.0450351,0.00201376,-0.06
2.82517,1.56316,-0.124598,0.0336841,-5.72296,0.351929,97.373,0.000312649,101327,-0.0290726,0.0102969,-0.06
3,1.23317,-0.203615,0.189122,-5.64456,0.346445,49.6724,0.000664865,101326,-0.0228569,0.0137968,-0.06
2.90197,1.0469,-0.238069,0.20379,-5.67001,0.360754,31.124,0.00109726,101326,-0.0210773,0.012935,-0.06
1,2.44947,-0.00544108,0.105678,-6.94099,0.2986,107.595,8.82976e-05,101327,-0.0434315,-0.0123033,-0.06
