"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
4,-1.02916e+18,3.05745e+08,-6.76594e+08,2.05856e+09,4.70222e+17,3.84e+24,293054,-1.02916e+18,0.0441803,0.0181763,-0.06
1,3.40853e+16,-6.87601e+07,1.36222e+08,-5.51883e+08,3.46054e+14,4.60018e+20,74.7919,3.40853e+16,-0.0219743,-0.0312151,-0.06
1,1.6106e+16,-8.10427e+07,1.39877e+08,-6.75843e+08,7.7425e+15,9.62172e+21,2892.21,1.6106e+16,-0.0186682,-0.0322691,-0.06
1,1.12178e+17,-3.41874e+07,9.70529e+06,-5.10676e+08,3.05584e+13,1.38363e+19,170.06,1.12178e+17,-0.0489306,-0.0488383,-0.06
2.91086,-3.38048e+18,2.56939e+07,-1.53883e+07,6.58024e+07,5.79227e+15,2.57381e+21,2.70585e+08,-3.38048e+18,0.00332348,0.0483529,-0.06
3.49856,-8.29943e+17,1.49544e+07,-1.60006e+07,6.27121e+07,3.26529e+15,6.75848e+21,9.81536e+07,-8.29943e+17,0.00833332,0.0467418,-0.06
3.06599,-2.02546e+18,2.60673e+07,-1.32555e+07,6.51053e+07,4.65894e+15,2.69768e+21,1.64321e+08,-2.02546e+18,0.00448196,0.05,-0.06
1,9.87804e+16,-1.96768e+07,4.29769e+07,-4.70272e+08,1.53144e+13,6.4127e+18,129.151,9.87804e+16,-0.05,-0.0444236,-0.06
1,1.1686e+17,-3.29668e+07,5.61964e+06,-5.18708e+08,3.22215e+13,1.45246e+19,178.763,1.1686e+17,-0.05,-0.05,-0.06
2,6.39978e+16,-1.16445e+07,-5.41593e+07,-8.16223e+07,3.10072e+14,1.76152e+20,6.56622e+06,6.39978e+16,-0.05,0.0205981,-0.06
2,8.01744e+16,-8.35702e+06,-1.8705e+07,-4.00265e+07,2.5235e+14,2.6633e+20,7.32231e+06,8.01744e+16,-0.05,0.0171384,-0.06
2,6.39806e+16,-6.28329e+06,-4.45394e+06,-2.2441e+07,2.29475e+14,2.15547e+20,6.32702e+06,6.39806e+16,-0.0481091,0.0171294,-0.06
1,4.4439e+16,1.03936e+08,3.35676e+07,-3.88352e+08,1.49442e+14,1.49328e+19,27886.2,4.4439e+16,-0.0215398,-0.0182175,-0.06
1,4.06803e+16,9.65576e+07,1.66096e+07,-3.77922e+08,6.18434e+14,3.88739e+20,19028.9,4.06803e+16,-0.0189155,-0.0172885,-0.06
3.12908,-6.69155e+19,-3.95565e+08,1.58267e+08,-9.32397e+07,1.83527e+17,1.17835e+25,6.19259e+09,-6.69155e+19,0.0396204,-0.00305899,-0.06
3.61609,-2.50763e+18,-5.60048e+08,1.96235e+08,4.93716e+07,2.41164e+17,3.61544e+24,6.06092e+08,-2.50763e+18,0.0364344,0.00409704,-0.06
3.11835,-1.31934e+19,-2.78066e+08,1.48472e+08,-6.78366e+07,1.23115e+17,2.28389e+24,1.39915e+09,-1.31934e+19,0.0320707,-0.00252033,-0.06
3,3.81046e+18,-1.34829e+08,2.34516e+07,-4.00815e+08,7.26801e+16,3.22299e+26,3.53431e+08,3.81046e+18,0.0383833,-0.0408625,-0.06
3,-2.41358e+18,-1.37084e+08,3.11794e+07,-3.95829e+08,7.34229e+16,1.57164e+26,3.4101e+08,-2.41358e+18,0.037927,-0.0405451,-0.06
3,-7.42163e+17,-1.49148e+08,2.72068e+07,-4.04629e+08,7.15158e+16,1.49825e+26,2.88335e+08,-7.42163e+17,0.0378732,-0.0412743,-0.06
3.14803,-5.31117e+17,2.90719e+07,-1.12658e+07,1.7761e+07,3.01874e+15,3.57295e+20,9.18504e+07,-5.31117e+17,0.00551594,0.039038,-0.06
2.92498,-2.32351e+17,7.93285e+07,1.5678e+08,1.76547e+08,4.52075e+16,7.92537e+22,7.78175e+06,-2.32351e+17,0.00622102,-0.0042418,-0.06
2.92764,-3.49036e+17,9.66594e+07,1.49149e+08,2.07339e+08,4.53972e+16,7.75744e+22,1.38195e+07,-3.49036e+17,0.00537228,-0.00293174,-0.06
2.89965,-9.19445e+16,9.75228e+07,1.50663e+08,2.06063e+08,4.4915e+16,5.3405e+22,3.32106e+06,-9.19445e+16,0.00485715,-0.00288705,-0.06
2,1.12618e+17,-8.65208e+06,-3.19551e+07,-3.66716e+07,4.43949e+14,5.96795e+19,6.37249e+06,1.12618e+17,-0.0422828,0.0219484,-0.06
2,9.39692e+16,-1.24339e+07,-7.97401e+07,-1.10721e+08,3.86125e+14,9.88006e+19,6.51472e+06,9.39692e+16,-0.05,0.0239188,-0.06
3,-5.25016e+17,-1.40429e+08,9.67544e+07,-2.22983e+08,8.03468e+16,1.186e+25,1.37403e+08,-5.25016e+17,0.0217347,-0.032011,-0.06
3,-6.29318e+17,-9.42528e+07,1.4927e+08,-2.02846e+08,5.01768e+16,1.14574e+24,8.70593e+07,-6.29318e+17,0.0153913,-0.0230302,-0.06
3,-9.83801e+17,-1.59881e+08,1.04438e+08,-2.68745e+08,1.19463e+17,7.64622e+24,9.7613e+07,-9.83801e+17,0.0177596,-0.0323536,-0.06
3,-1.15687e+18,-1.41769e+08,1.32872e+08,-2.70647e+08,1.14571e+17,1.14951e+24,6.18316e+07,-1.15687e+18,0.0135241,-0.0279266,-0.06
4,-8.34092e+17,4.31789e+08,-8.20334e+08,2.55236e+09,4.25361e+16,2.27601e+23,69779.3,-8.34092e+17,0.0285131,0.0162224,-0.06
4,-1.01653e+18,4.42584e+08,-6.40198e+08,2.18327e+09,4.39683e+16,2.39451e+23,321851,-1.01653e+18,0.0284964,0.0149562,-0.06
4,-7.58028e+17,5.8765e+07,-6.32809e+08,2.36896e+09,7.27466e+16,4.58398e+23,114616,-7.58028e+17,0.029584,0.0156305,-0.06
4,-7.91528e+17,3.775e+08,-8.67704e+08,2.42048e+09,5.03603e+16,2.80142e+23,65782.2,-7.91528e+17,0.0291262,0.0167531,-0.06
3,3.65938e+18,-7.84412e+07,2.79459e+07,-7.0923e+08,3.92553e+16,4.09672e+26,2.62396e+08,3.65938e+18,0.0491333,-0.0489887,-0.06
3,4.6801e+17,-1.22159e+08,2.71091e+07,-4.7493e+08,6.16395e+16,2.23279e+26,2.91589e+08,4.6801e+17,0.0409677,-0.0428741,-0.06
3,2.05791e+18,-1.0188e+08,2.07138e+07,-7.3279e+08,3.70627e+16,3.71471e+26,2.44925e+08,2.05791e+18,0.0476287,-0.05,-0.06
2.07959,-2.1564e+14,3.77309e+06,5.46002e+07,-5.76282e+07,1.42348e+16,2.01119e+22,2.5218e+06,-2.1564e+14,-0.00228916,-0.0121296,-0.06
1.26482,6.38418e+16,2.48663e+07,-6.07047e+07,-1.52443e+08,4.81235e+15,3.67811e+21,314990,6.38418e+16,-0.012242,-0.00275849,-0.06
3,-7.39158e+18,-3.51088e+08,9.62743e+06,-6.51892e+08,7.52177e+16,7.26181e+25,1.46747e+08,-7.39158e+18,0.0297612,-0.05,-0.06
3.14962,-4.67979e+17,2.90629e+07,-1.12094e+07,1.70004e+07,2.95687e+15,3.20428e+20,9.10328e+07,-4.67979e+17,0.00553476,0.0389626,-0.06
3.15434,-4.27671e+17,2.93432e+07,-1.11495e+07,1.74494e+07,2.89686e+15,3.15195e+20,8.55116e+07,-4.27671e+17,0.00558291,0.038909,-0.06
2,2.50868e+17,-1.57488e+08,-5.41719e+07,-7.63311e+08,1.29394e+14,2.06251e+19,153149,2.50868e+17,-0.0304472,0.0440169,-0.06
2,1.98933e+17,1.94053e+07,9.17713e+07,-1.30491e+09,3.58499e+13,4.4966e+18,42472.8,1.98933e+17,-0.0405076,0.0409479,-0.06
2,2.51959e+17,1.49472e+08,1.83371e+08,-7.29636e+08,4.29534e+13,6.53446e+18,90725,2.51959e+17,-0.0337831,0.05,-0.06
2,1.92092e+17,2.45196e+08,-3.19842e+08,-4.07205e+08,5.34539e+14,6.04345e+19,1.77927e+06,1.92092e+17,-0.0115213,0.0301185,-0.06
2,2.17238e+17,1.74767e+08,-2.23629e+08,-4.08101e+08,3.49008e+14,4.71387e+19,503812,2.17238e+17,-0.0183819,0.0305675,-0.06
2,1.41959e+17,2.05003e+08,-1.90101e+08,-3.25594e+08,9.04308e+14,1.57009e+20,213953,1.41959e+17,-0.00874265,0.0226513,-0.06
4,-4.64458e+17,1.51948e+07,-1.68891e+07,6.63758e+07,3.43203e+15,1.13276e+22,4.62202e+07,-4.64458e+17,0.0126825,0.0449399,-0.06
2.11254,-9.31692e+16,-1.08339e+07,1.20439e+07,-1.35147e+08,6.10772e+16,9.4961e+22,5.06416e+06,-9.31692e+16,-0.00147539,-0.0226916,-0.06
2.27923,-3.13851e+16,-3.10809e+06,7.45351e+07,-4.66118e+07,1.7659e+16,2.98733e+22,4.56675e+06,-3.13851e+16,-0.000145357,-0.0131393,-0.06
1.90482,-1.76105e+16,3.6625e+06,-1.20084e+07,-1.1532e+08,5.85019e+16,6.78084e+22,1.55444e+06,-1.76105e+16,-0.00352463,-0.0212618,-0.06
3,-3.24715e+17,-5.83348e+07,1.47001e+08,-1.41989e+08,3.81705e+16,1.46197e+23,1.75882e+07,-3.24715e+17,0.00704518,-0.0208235,-0.06
2.95349,-3.06876e+17,-6.07286e+07,1.42804e+08,-1.50941e+08,7.71398e+16,1.8408e+23,1.63986e+07,-3.06876e+17,0.00645108,-0.0217215,-0.06
1.72944,5.4807e+16,-1.98199e+06,5.02029e+06,-2.62936e+07,3.71146e+14,4.02768e+19,2.03325e+06,5.4807e+16,-0.0435238,0.00526724,-0.06
2,2.42031e+17,-1.14906e+08,-8.68546e+07,-6.34244e+08,1.7598e+14,2.87686e+19,179331,2.42031e+17,-0.0280951,0.0400326,-0.06
